,Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum
8193,nightmare,1.79,0.92,19,5.83,2.72,42
8194,nightstand,5.62,1.4,21,4.04,1.73,24
8195,nightstick,3.79,1.69,24,4.81,2.18,21
8196,nighttime,6.18,1.87,22,3.91,2.47,23
8197,Nike,5.86,1.8,21,4.71,2.48,24
8199,nimrod,4.21,1.81,19,3.67,2.17,18
8200,nincompoop,5.0,2.19,21,3.21,2.55,24
8202,nineteen,5.63,1.74,19,3.86,2.56,21
8203,ninety,4.65,1.69,20,3.28,2.16,18
8204,ninja,5.14,2.41,21,5.61,2.66,23
8205,ninny,4.33,1.96,21,5.42,2.32,19
8206,nintendo,6.8,2.14,20,6.37,3.06,19
8207,nip,5.25,1.48,20,4.39,2.45,18
8208,nipper,5.43,2.01,21,4.42,2.39,19
8209,nipple,5.73,2.06,41,5.88,2.42,43
8211,nitrate,5.0,1.7,21,4.0,2.51,22
8212,nitro,5.0,1.3,21,4.55,2.26,22
8213,nitrogen,4.6,1.73,20,5.2,2.21,20
8215,nitwit,3.75,1.77,20,3.96,2.18,23
8216,nix,4.0,1.37,19,3.89,1.79,19
8217,nobility,5.83,2.81,18,4.57,1.78,23
8219,nobleman,6.86,1.42,21,4.0,2.07,21
8221,nod,5.05,1.28,21,2.92,2.32,24
8222,node,4.84,1.57,19,3.5,2.22,22
8223,noggin,5.63,1.42,19,4.29,1.95,21
8224,noir,5.37,1.54,19,3.59,2.38,22
8225,noise,3.36,2.28,22,5.75,2.59,20
8226,noisy,3.21,1.4,19,5.15,2.57,47
8227,nomad,4.71,1.31,21,3.17,2.63,24
8229,nominate,5.86,1.39,21,3.48,1.9,25
8230,nomination,5.63,1.54,19,4.04,2.38,23
8231,nominee,5.5,1.19,22,4.4,2.63,25
8232,nonchalant,4.58,1.35,19,3.64,2.47,45
8233,nonexistent,3.89,1.24,19,3.81,2.02,21
8234,nonfat,5.74,1.82,19,3.57,2.23,21
8235,nonfiction,5.95,1.72,21,3.85,2.16,20
8236,nonsense,4.0,1.89,20,4.52,2.29,21
8237,nonviolent,6.84,1.3,19,3.95,2.11,20
8238,noodle,6.48,1.57,21,3.09,2.16,22
8239,nook,6.33,1.56,21,2.8,2.16,25
8240,noon,5.38,2.09,21,2.87,1.96,23
8242,norm,5.56,1.42,18,3.06,1.92,17
8244,normalcy,4.84,2.24,19,3.15,2.11,20
8245,north,5.72,1.87,18,2.15,1.46,20
8246,northbound,5.45,1.9,20,4.8,2.5,20
8247,northeast,5.5,1.89,18,3.65,2.48,20
8252,nosebleed,3.16,1.98,19,5.27,2.23,22
8253,nostalgia,6.65,2.08,20,4.38,2.71,21
8254,nostalgic,6.68,1.64,22,4.37,2.5,19
8255,nostril,3.58,1.3,19,3.43,2.16,21
8256,nosy,3.1,1.55,21,4.65,2.31,23
